2G Site ID,Region,Latitude,Longitude,Final DG,Guarded/Unguarded
S-7614,South III,29.90445,66.96164,DG,Guarded
N-4299,North II,33.93735,71.47526,DG,Guarded
N-5947,Central II,32.229,69.6723,Non DG,Un Guarded
N-5315,Central II,32.512132,69.818216,Non DG,Un Guarded
7774,Central I,32.52985,74.543,DG,Guarded
N-5187,Central II,32.31246,69.54207,Non DG,Un Guarded
N-5312,North II,33.14088,70.36513,Non DG,Un Guarded
4220,Central II,31.27262,72.31908,DG,Un Guarded
2660,North I,32.85749,72.56949,Non DG,Un Guarded
N-5198,North II,32.97657,69.95501,Non DG,Un Guarded
4930,Central II,31.67338,73.29007,DG,Guarded
3452,Central I,32.48028,74.35949,Non DG,Un Guarded
3420,Central I,32.50701,74.55106,DG,Guarded
6523,South I,25.04725,66.88934,DG,Guarded
N-5570,North II,34.15664,71.2537,Non DG,Un Guarded
8751,North I,34.45217,73.49479,DG,Guarded
3752,Central I,32.38327,74.42286,DG,Guarded
1001,South I,24.848027778,67.0055,DG,Un Guarded
2684,North I,33.67472,72.6962,Non DG,Un Guarded
5785,Central III,30.44204,70.72951,Non DG,Un Guarded
4558,Central II,30.74527,73.81767,DG,Guarded
CI-1557,Central I,31.552,74.3132,Non DG,Un Guarded
N-4008,North II,32.88069,70.68264,DG,Guarded
6512,South III,30.16893,66.98367,DG,Guarded
8083,North I,33.56207,73.06808,Non DG,Un Guarded
S-7207,South III,25.2906,61.86172,Non DG,Un Guarded
9812,South II,25.37598,68.39459,DG,Guarded
3459,Central I,32.48091,74.36475,DG,Guarded
7945,Central I,32.53468,73.63232,Non DG,Guarded
6266,South I,24.8295,67.1296,Non DG,Un Guarded
1738,South II,24.48408,68.98548,Non DG,Un Guarded
S-7206,South III,25.261838,62.029534,Non DG,Un Guarded
2616,North I,32.76062,72.72647,Non DG,Un Guarded
5064,Central III,30.18005,72.22042,Non DG,Guarded
1813,South III,29.35595,64.69918,DG,Un Guarded
S-3390,South III,30.17392,66.95291,Non DG,Guarded
5121,Central III,30.46273,72.35763,Non DG,Un Guarded
HKHIBSC01,South I,24.8652797269,67.0646306679,Non DG,Un Guarded
9524,South I,24.87325,67.36665,DG,Guarded
